canonical_task_id,harnesses_tried,deduplicated_attempts,graded_attempts,successful_attempts,accuracy_winner_harnesses,accuracy_winner_samples,lowest_success_tokens,token_winner_harness,token_winner_variant,token_winner_job,token_winner_trial,lowest_success_cost_usd,cost_winner_harness,cost_winner_variant,cost_winner_job,cost_winner_trial,fastest_success_seconds,time_winner_harness,time_winner_variant,time_winner_job,time_winner_trial,token_winner_trace_path,token_winner_trace_status,cost_winner_trace_path,cost_winner_trace_status,time_winner_trace_path,time_winner_trace_status
django__django-13297,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,12,11,0,,,,,,,,,,,,,,,,,,,not_selected,,not_selected,,not_selected
django__django-13315,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,7,claude-code; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/2; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 3/3,55989,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13315__6e7441c,0.1376,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-13315__AuPti8Z,74.9,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13315__6e7441c,swebench-verified-winning-traces/472ee1f9d42c/django__django-13315__6e7441c/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-13315__AuPti8Z/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-13315__6e7441c/trajectory.json.gz,downloaded
django__django-13343,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,12,11,8,claude-code; codex; mini-swe-agent; subconscious-code,claude-code 2/3; codex 2/2; mini-swe-agent 1/2; subconscious-code 3/3,189220,codex,codex | subconscious/glm-5.2 | e2b | python,b1a03feecef5,django__django-13343__ZmgpyZE,0.4236,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-13343__rkNkYtE,105.7,codex,codex | subconscious/glm-5.2 | e2b | python,b1a03feecef5,django__django-13343__ZmgpyZE,swebench-verified-winning-traces/b1a03feecef5/django__django-13343__ZmgpyZE/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-13343__rkNkYtE/trajectory.json.gz,downloaded,swebench-verified-winning-traces/b1a03feecef5/django__django-13343__ZmgpyZE/trajectory.json.gz,downloaded
django__django-13344,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code; unknown,155,133,3,opencode; subconscious-code,opencode 2/2; subconscious-code 1/5,710838,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13344__RwvujqC,,,,,,1217.7,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13344__RwvujqC,swebench-verified-winning-traces/0017241088a1/django__django-13344__RwvujqC/trajectory.json.gz,existing,,not_selected,swebench-verified-winning-traces/0017241088a1/django__django-13344__RwvujqC/trajectory.json.gz,existing
django__django-13346,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,3,claude-code; codex; opencode,claude-code 1/2; codex 1/1; opencode 1/1,2388602,codex,codex | subconscious/glm-5.2 | e2b | python,b1a03feecef5,django__django-13346__sYzx6oW,22.5463,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,django__django-13346__yBzu5bx,456.1,opencode,opencode | subconscious/glm-5.2 | e2b | python,c57b386851fd,django__django-13346__gADY3CR,swebench-verified-winning-traces/b1a03feecef5/django__django-13346__sYzx6oW/trajectory.json.gz,downloaded,swebench-verified-winning-traces/1d4355e54894/django__django-13346__yBzu5bx/trajectory.json.gz,downloaded,swebench-verified-winning-traces/c57b386851fd/django__django-13346__gADY3CR/trajectory.json.gz,downloaded
django__django-13363,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,129,71,69,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/3; codex 2/2; mini-swe-agent 58/59; opencode 2/2; pi 1/1; subconscious-code 4/4,62941,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,084529a5ade8,django__django-13363__PTNhg2Q,0.0234,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,084529a5ade8,django__django-13363__PTNhg2Q,74.0,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13363__f60138a,swebench-verified-winning-traces/084529a5ade8/django__django-13363__PTNhg2Q/trajectory.json.gz,downloaded,swebench-verified-winning-traces/084529a5ade8/django__django-13363__PTNhg2Q/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-13363__f60138a/trajectory.json.gz,downloaded
django__django-13401,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,122,61,11,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 2/4; codex 1/3; mini-swe-agent 4/48; opencode 1/1; subconscious-code 3/4,75012,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13401__c5hmmnA,0.0339,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,005edf6fd99e,django__django-13401__LptJDpy,111.9,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13401__c5hmmnA,swebench-verified-winning-traces/0017241088a1/django__django-13401__c5hmmnA/trajectory.json.gz,existing,swebench-verified-winning-traces/005edf6fd99e/django__django-13401__LptJDpy/trajectory.json.gz,downloaded,swebench-verified-winning-traces/0017241088a1/django__django-13401__c5hmmnA/trajectory.json.gz,existing
django__django-13406,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,146,90,6,claude-code; codex; mini-swe-agent; opencode,claude-code 1/2; codex 2/2; mini-swe-agent 2/82; opencode 1/1,586056,mini-swe-agent,mini-swe-agent | openai/subconscious/tim-qwen3.6-27b | e2b | python,7685d364d232,django__django-13406__9262783,0.1199,mini-swe-agent,mini-swe-agent | openai/subconscious/tim-qwen3.6-27b | e2b | python,7685d364d232,django__django-13406__9262783,320.1,codex,codex | subconscious/glm-5.2 | e2b | python,b1a03feecef5,django__django-13406__LHmAdEB,swebench-verified-winning-traces/7685d364d232/django__django-13406__9262783/trajectory.json.gz,downloaded,swebench-verified-winning-traces/7685d364d232/django__django-13406__9262783/trajectory.json.gz,downloaded,swebench-verified-winning-traces/b1a03feecef5/django__django-13406__LHmAdEB/trajectory.json.gz,downloaded
django__django-13410,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,24,21,19,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/3; codex 2/2; mini-swe-agent 9/10; opencode 1/1; pi 1/1; subconscious-code 4/4,10965,pi,pi | subconscious/glm-5.2 | e2b | python,ac02f4ca2ef4,django__django-13410__j8gQGdo,0.0114,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,db8d33490582,django__django-13410__pXx7xXy,43.7,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13410__ErqaXju,swebench-verified-winning-traces/ac02f4ca2ef4/django__django-13410__j8gQGdo/trajectory.json.gz,archive_error,swebench-verified-winning-traces/db8d33490582/django__django-13410__pXx7xXy/trajectory.json.gz,downloaded,swebench-verified-winning-traces/0017241088a1/django__django-13410__ErqaXju/trajectory.json.gz,existing
django__django-13417,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,22,13,10,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/3; codex 2/2; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 3/4,160414,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13417__UQKcH79,0.4117,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-13417__M3b5jRz,156.9,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13417__UQKcH79,swebench-verified-winning-traces/0017241088a1/django__django-13417__UQKcH79/trajectory.json.gz,existing,swebench-verified-winning-traces/d2cf5ec25625/django__django-13417__M3b5jRz/trajectory.json.gz,downloaded,swebench-verified-winning-traces/0017241088a1/django__django-13417__UQKcH79/trajectory.json.gz,existing
django__django-13449,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,152,123,12,codex; mini-swe-agent; opencode; subconscious-code,codex 2/3; mini-swe-agent 5/111; opencode 1/1; subconscious-code 4/5,410252,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,bd1d2962974a,django__django-13449__zkwbREq,0.1002,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,bd1d2962974a,django__django-13449__zkwbREq,289.3,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13449__fde8773,swebench-verified-winning-traces/bd1d2962974a/django__django-13449__zkwbREq/trajectory.json.gz,downloaded,swebench-verified-winning-traces/bd1d2962974a/django__django-13449__zkwbREq/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-13449__fde8773/trajectory.json.gz,downloaded
django__django-13512,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,100,52,10,claude-code; mini-swe-agent; pi; subconscious-code,claude-code 2/4; mini-swe-agent 6/40; pi 1/1; subconscious-code 1/4,421373,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,e91bc1bf4b3c,django__django-13512__CDF2BVG,0.0799,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,e91bc1bf4b3c,django__django-13512__CDF2BVG,109.2,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13512__6430a6d,swebench-verified-winning-traces/e91bc1bf4b3c/django__django-13512__CDF2BVG/trajectory.json.gz,downloaded,swebench-verified-winning-traces/e91bc1bf4b3c/django__django-13512__CDF2BVG/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-13512__6430a6d/trajectory.json.gz,downloaded
django__django-13513,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,17,14,0,,,,,,,,,,,,,,,,,,,not_selected,,not_selected,,not_selected
django__django-13516,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code; unknown,161,138,132,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code; unknown,claude-code 3/4; codex 3/4; mini-swe-agent 119/123; opencode 1/1; pi 1/1; subconscious-code 4/4; unknown 1/1,97394,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13516__13cc66d,0.0444,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,392a63784e18,django__django-13516__ovZK99i,51.3,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13516__13cc66d,swebench-verified-winning-traces/187f0c30fc5f/django__django-13516__13cc66d/trajectory.json.gz,downloaded,swebench-verified-winning-traces/392a63784e18/django__django-13516__ovZK99i/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-13516__13cc66d/trajectory.json.gz,downloaded
django__django-13551,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,22,15,12,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/3; codex 1/1; mini-swe-agent 3/5; opencode 1/1; pi 1/1; subconscious-code 4/4,100340,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13551__RntoLYU,0.0973,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,1557c781b448,django__django-13551__LtN7fpf,82.4,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13551__0ab4e2e,swebench-verified-winning-traces/0017241088a1/django__django-13551__RntoLYU/trajectory.json.gz,existing,swebench-verified-winning-traces/1557c781b448/django__django-13551__LtN7fpf/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-13551__0ab4e2e/trajectory.json.gz,downloaded
django__django-13568,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,29,22,14,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 2/3; codex 2/2; mini-swe-agent 7/11; opencode 1/1; subconscious-code 2/4,237238,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13568__vRSSgQP,0.1163,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,4f6a7b648506,django__django-13568__mVdqvvY,165.3,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13568__vRSSgQP,swebench-verified-winning-traces/0017241088a1/django__django-13568__vRSSgQP/trajectory.json.gz,existing,swebench-verified-winning-traces/4f6a7b648506/django__django-13568__mVdqvvY/trajectory.json.gz,downloaded,swebench-verified-winning-traces/0017241088a1/django__django-13568__vRSSgQP/trajectory.json.gz,existing
django__django-13569,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,36,22,18,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/3; codex 2/3; mini-swe-agent 10/11; opencode 1/1; pi 1/1; subconscious-code 2/3,150718,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13569__9JGinFx,0.0716,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,1557c781b448,django__django-13569__REB5oce,135.1,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13569__9JGinFx,swebench-verified-winning-traces/0017241088a1/django__django-13569__9JGinFx/trajectory.json.gz,existing,swebench-verified-winning-traces/1557c781b448/django__django-13569__REB5oce/trajectory.json.gz,downloaded,swebench-verified-winning-traces/0017241088a1/django__django-13569__9JGinFx/trajectory.json.gz,existing
django__django-13590,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,22,17,6,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/3; codex 1/1; mini-swe-agent 1/7; opencode 1/1; pi 1/1; subconscious-code 1/4,375462,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,63518ecf1697,django__django-13590__ejoKeVF,0.2228,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-13590__BChjNms,246.3,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,django__django-13590__FvLtnup,swebench-verified-winning-traces/63518ecf1697/django__django-13590__ejoKeVF/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-13590__BChjNms/trajectory.json.gz,downloaded,swebench-verified-winning-traces/1d4355e54894/django__django-13590__FvLtnup/trajectory.json.gz,downloaded
django__django-13658,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,17,13,10,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/3; codex 1/2; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 4/4,18947,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13658__zgxo3z8,0.1172,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-13658__TbedT7a,66.3,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13658__65e82cf,swebench-verified-winning-traces/0017241088a1/django__django-13658__zgxo3z8/trajectory.json.gz,existing,swebench-verified-winning-traces/d2cf5ec25625/django__django-13658__TbedT7a/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-13658__65e82cf/trajectory.json.gz,downloaded
django__django-13670,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code; unknown,167,148,141,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code; unknown,claude-code 4/5; codex 4/4; mini-swe-agent 127/131; opencode 1/1; pi 1/1; subconscious-code 3/5; unknown 1/1,78590,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,1c623cd0424b,django__django-13670__6bovX59,0.0204,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,b196c14c0d62,django__django-13670__mXt5nLU,71.3,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,b196c14c0d62,django__django-13670__mXt5nLU,swebench-verified-winning-traces/1c623cd0424b/django__django-13670__6bovX59/trajectory.json.gz,downloaded,swebench-verified-winning-traces/b196c14c0d62/django__django-13670__mXt5nLU/trajectory.json.gz,downloaded,swebench-verified-winning-traces/b196c14c0d62/django__django-13670__mXt5nLU/trajectory.json.gz,downloaded
django__django-13741,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,9,9,7,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 2/2; codex 1/1; mini-swe-agent 1/2; opencode 1/1; subconscious-code 2/2,196474,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13741__6ddd9ab,0.2698,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-13741__gUMWcBZ,102.9,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13741__6ddd9ab,swebench-verified-winning-traces/472ee1f9d42c/django__django-13741__6ddd9ab/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-13741__gUMWcBZ/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-13741__6ddd9ab/trajectory.json.gz,downloaded
django__django-13786,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,29,22,19,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/3; codex 2/2; mini-swe-agent 10/11; opencode 1/1; pi 1/1; subconscious-code 4/4,127970,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13786__xW3CADf,0.0423,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,db8d33490582,django__django-13786__p3rMwzF,88.3,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13786__d2423c5,swebench-verified-winning-traces/0017241088a1/django__django-13786__xW3CADf/trajectory.json.gz,existing,swebench-verified-winning-traces/db8d33490582/django__django-13786__p3rMwzF/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-13786__d2423c5/trajectory.json.gz,downloaded
django__django-13794,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,24,21,7,claude-code; codex; opencode; subconscious-code,claude-code 1/3; codex 2/2; opencode 1/1; subconscious-code 3/4,300174,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13794__bb32719,6.5301,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,django__django-13794__EzogMMn,89.5,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13794__c63b19f,swebench-verified-winning-traces/472ee1f9d42c/django__django-13794__bb32719/trajectory.json.gz,downloaded,swebench-verified-winning-traces/1d4355e54894/django__django-13794__EzogMMn/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-13794__c63b19f/trajectory.json.gz,downloaded
django__django-13807,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,11,11,8,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/3; codex 1/1; mini-swe-agent 1/2; opencode 1/1; pi 1/1; subconscious-code 2/3,87521,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,63518ecf1697,django__django-13807__yMPVBfm,0.2559,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-13807__yRnt2a5,110.2,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,63518ecf1697,django__django-13807__yMPVBfm,swebench-verified-winning-traces/63518ecf1697/django__django-13807__yMPVBfm/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-13807__yRnt2a5/trajectory.json.gz,downloaded,swebench-verified-winning-traces/63518ecf1697/django__django-13807__yMPVBfm/trajectory.json.gz,downloaded
django__django-13809,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,19,12,8,claude-code; codex; opencode; pi; subconscious-code,claude-code 1/2; codex 2/2; opencode 1/1; pi 1/1; subconscious-code 3/4,663944,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13809__jYuA4As,1.7508,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,django__django-13809__HwQJ5Aq,200.1,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13809__d558ad4,swebench-verified-winning-traces/0017241088a1/django__django-13809__jYuA4As/trajectory.json.gz,existing,swebench-verified-winning-traces/1d4355e54894/django__django-13809__HwQJ5Aq/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-13809__d558ad4/trajectory.json.gz,downloaded
django__django-13810,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,9,9,7,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 2/2; codex 1/1; mini-swe-agent 1/2; opencode 1/1; subconscious-code 2/2,430838,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13810__a503b80,0.3128,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-13810__aq2m98c,138.0,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13810__a503b80,swebench-verified-winning-traces/472ee1f9d42c/django__django-13810__a503b80/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-13810__aq2m98c/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-13810__a503b80/trajectory.json.gz,downloaded
django__django-13820,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,9,9,6,claude-code; codex; opencode; subconscious-code,claude-code 2/2; codex 1/1; opencode 1/1; subconscious-code 2/2,114352,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13820__5375fad,1.0237,claude-code,claude-code | subconscious/glm-5.2 | daytona | python,63ca9a349e63,django__django-13820__a8c8YzE,105.6,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13820__5375fad,swebench-verified-winning-traces/472ee1f9d42c/django__django-13820__5375fad/trajectory.json.gz,downloaded,swebench-verified-winning-traces/63ca9a349e63/django__django-13820__a8c8YzE/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-13820__5375fad/trajectory.json.gz,downloaded
django__django-13821,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,150,124,100,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 1/2; codex 2/3; mini-swe-agent 91/113; opencode 1/1; pi 1/1; subconscious-code 4/4,269885,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13821__195339e,0.0817,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,1c623cd0424b,django__django-13821__AvVKtb5,57.8,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13821__195339e,swebench-verified-winning-traces/472ee1f9d42c/django__django-13821__195339e/trajectory.json.gz,downloaded,swebench-verified-winning-traces/1c623cd0424b/django__django-13821__AvVKtb5/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-13821__195339e/trajectory.json.gz,downloaded
django__django-13837,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,110,66,13,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,claude-code 2/4; codex 2/2; mini-swe-agent 4/54; opencode 1/1; pi 1/1; subconscious-code 3/4,175481,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13837__8d1ba10,0.0384,mini-swe-agent,mini-swe-agent | glm-gcp1 | e2b | python,38b024d751d5,django__django-13837__CthnJC5,100.6,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13837__8d1ba10,swebench-verified-winning-traces/187f0c30fc5f/django__django-13837__8d1ba10/trajectory.json.gz,downloaded,swebench-verified-winning-traces/38b024d751d5/django__django-13837__CthnJC5/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-13837__8d1ba10/trajectory.json.gz,downloaded
django__django-13925,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,10,5,claude-code; mini-swe-agent; opencode; subconscious-code,claude-code 1/2; mini-swe-agent 1/2; opencode 1/1; subconscious-code 2/3,240900,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13925__TrtGPNL,0.0903,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-13925__vPRzeia,188.0,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,0017241088a1,django__django-13925__TrtGPNL,swebench-verified-winning-traces/0017241088a1/django__django-13925__TrtGPNL/trajectory.json.gz,existing,swebench-verified-winning-traces/d2cf5ec25625/django__django-13925__vPRzeia/trajectory.json.gz,downloaded,swebench-verified-winning-traces/0017241088a1/django__django-13925__TrtGPNL/trajectory.json.gz,existing
django__django-13933,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,10,9,7,claude-code; codex; opencode; pi; subconscious-code,claude-code 1/2; codex 1/1; opencode 1/1; pi 1/1; subconscious-code 3/3,474224,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13933__fd05705,10.0161,claude-code,claude-code | subconscious/glm-5.2 | e2b | python,1d4355e54894,django__django-13933__KEs8MUx,182.9,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,472ee1f9d42c,django__django-13933__fd05705,swebench-verified-winning-traces/472ee1f9d42c/django__django-13933__fd05705/trajectory.json.gz,downloaded,swebench-verified-winning-traces/1d4355e54894/django__django-13933__KEs8MUx/trajectory.json.gz,downloaded,swebench-verified-winning-traces/472ee1f9d42c/django__django-13933__fd05705/trajectory.json.gz,downloaded
django__django-13964,claude-code; codex; mini-swe-agent; opencode; pi; subconscious-code,109,63,8,claude-code; codex; mini-swe-agent; opencode; subconscious-code,claude-code 2/4; codex 1/2; mini-swe-agent 1/51; opencode 1/1; subconscious-code 3/4,739649,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | python,63518ecf1697,django__django-13964__X8M9NrY,0.5042,mini-swe-agent,mini-swe-agent | subconscious/glm-5.2 | e2b | python,d2cf5ec25625,django__django-13964__X8z5Pss,404.6,subconscious-code,subconscious-code | subconscious/glm-5.2 | e2b | go,187f0c30fc5f,django__django-13964__08852d2,swebench-verified-winning-traces/63518ecf1697/django__django-13964__X8M9NrY/trajectory.json.gz,downloaded,swebench-verified-winning-traces/d2cf5ec25625/django__django-13964__X8z5Pss/trajectory.json.gz,downloaded,swebench-verified-winning-traces/187f0c30fc5f/django__django-13964__08852d2/trajectory.json.gz,downloaded
